gene,disease
CDH1,gastric cancer
IL1RN,gastric cancer
KRAS,gastric cancer
TP53,gastric cancer
CTNNA1,gastric cancer
APC,gastric cancer
MUTYH,gastric cancer
CHEK2,gastric cancer
EGFR,gastric cancer
MYC,gastric cancer
MAP3K6,gastric cancer
CDH2,gastric cancer
HOTAIR,gastric cancer
ZNF667-AS1,gastric cancer
CCAT1,gastric cancer
TRAP1,gastric cancer
EBI3,gastric cancer
CDK4,gastric cancer
MSLN,gastric cancer
CDKN1A,gastric cancer
CDKN1B,gastric cancer
CDKN2A,gastric cancer
CDKN2D,gastric cancer
CNPY2,gastric cancer
DLC1,gastric cancer
FST,gastric cancer
NOP56,gastric cancer
ARL6IP5,gastric cancer
CCT7,gastric cancer
CTSC,gastric cancer
WIF1,gastric cancer
CKB,gastric cancer
LRRC3B,gastric cancer
CLCN3,gastric cancer
CLN3,gastric cancer
PLIN2,gastric cancer
MBD3L2,gastric cancer
DCBLD2,gastric cancer
KLF6,gastric cancer
CLDN3,gastric cancer
CST1,gastric cancer
CTNNA2,gastric cancer
CTSL,gastric cancer
ADRB1,gastric cancer
ADRB2,gastric cancer
CYP2A6,gastric cancer
ACE,gastric cancer
DDB1,gastric cancer
GADD45A,gastric cancer
DES,gastric cancer
AFP,gastric cancer
DNMT1,gastric cancer
DNMT3B,gastric cancer
DPAGT1,gastric cancer
DPYD,gastric cancer
HBEGF,gastric cancer
AGTR2,gastric cancer
TYMP,gastric cancer
ECHS1,gastric cancer
ECM1,gastric cancer
EEF1A1,gastric cancer
EEF1A2,gastric cancer
AHR,gastric cancer
ENO1,gastric cancer
ERBB2,gastric cancer
ERCC1,gastric cancer
ERCC2,gastric cancer
ALB,gastric cancer
F2R,gastric cancer
ALDH1A3,gastric cancer
FBP1,gastric cancer
FGFR2,gastric cancer
FGG,gastric cancer
FHIT,gastric cancer
FKBP2,gastric cancer
ALDOB,gastric cancer
FAM168A,gastric cancer
BOP1,gastric cancer
ALOX5,gastric cancer
ATP6V0D2,gastric cancer
GAST,gastric cancer
FYN,gastric cancer
PRDX5,gastric cancer
SERBP1,gastric cancer
ZBTB20,gastric cancer
GREM1,gastric cancer
ACAD8,gastric cancer
SNX5,gastric cancer
FILIP1,gastric cancer
PRPF19,gastric cancer
GLI3,gastric cancer
MRPS18B,gastric cancer
MRPL13,gastric cancer
PYCARD,gastric cancer
GSTP1,gastric cancer
ABT1,gastric cancer
CPSF1,gastric cancer
ANXA5,gastric cancer
ZNRD1,gastric cancer
HMOX1,gastric cancer
HNRNPL,gastric cancer
HOXA2,gastric cancer
HRAS,gastric cancer
APEX1,gastric cancer
BIRC2,gastric cancer
HSPA8,gastric cancer
HSPB1,gastric cancer
BIRC5,gastric cancer
HSPD1,gastric cancer
APOA1,gastric cancer
HTR1A,gastric cancer
ICAM2,gastric cancer
ID4,gastric cancer
IDH3B,gastric cancer
IGFBP3,gastric cancer
IGFBP7,gastric cancer
IL1B,gastric cancer
IL6,gastric cancer
IL6R,gastric cancer
CXCL8,gastric cancer
TNFRSF9,gastric cancer
ING1,gastric cancer
IRF1,gastric cancer
ITGA5,gastric cancer
JUN,gastric cancer
AREG,gastric cancer
KISS1,gastric cancer
KRT8,gastric cancer
RHOA,gastric cancer
LGALS3,gastric cancer
FADS1,gastric cancer
M6PR,gastric cancer
SMAD4,gastric cancer
MARK1,gastric cancer
MET,gastric cancer
MLF1,gastric cancer
KMT2A,gastric cancer
MMP7,gastric cancer
MMP10,gastric cancer
MSX1,gastric cancer
MT2A,gastric cancer
MTHFR,gastric cancer
MUC1,gastric cancer
MUC6,gastric cancer
MX1,gastric cancer
NDUFA2,gastric cancer
NDUFS1,gastric cancer
ATM,gastric cancer
NDUFV1,gastric cancer
NOS3,gastric cancer
NOTCH2,gastric cancer
NPM1,gastric cancer
NT5E,gastric cancer
ALDH7A1,gastric cancer
PA2G4,gastric cancer
